연도,분류,품목,직접비(퍼센트),간접비(퍼센트),이윤(퍼센트)
2018,엽근채소류,월동배추,26.5,12,8.2
2018,엽근채소류,월동무,43.7,12.2,3.6
2018,과채류,수박,14.3,11.4,8.2
2018,과채류,참외,16.9,14.2,11.2
2018,과채류,오이,14,8.5,22.4
2018,과채류,방울토마토,16.9,14.6,8.5
2018,과채류,딸기,21.2,16.2,3.8
2018,조미채소류,건고추,14.6,13.8,17.2
2018,조미채소류,난지형마늘,19.4,9.4,25
2018,조미채소류,양파,37.2,12.2,26.8
2018,과일류,사과,16.9,11.1,17.1
2018,과일류,배,25,10.8,17.7
2018,과일류,단감,13.5,11.9,16.8
2018,과일류,포도,19.6,11.2,9
2018,과일류,감귤,24.2,12.6,17.6
2018,과일류,복숭아,15.5,10.3,6.7
2018,화훼류,장미,17.9,11.7,28.8
2018,화훼류,국화,14.8,17.4,20.3
2018,축산부류,쇠고기,10.5,16.2,20.9
2018,축산부류,돼지고기,13.5,23.8,7
2018,축산부류,닭고기,15,29.7,10.6
2018,축산부류,계란,14.3,28.7,8.2
2019,식량작물,쌀,10.7,9.1,4.4
2019,식량작물,콩,6.4,10.4,22
2019,식량작물,봄감자,25.2,11.3,34
2019,식량작물,고랭지감자,14.5,11,33.2
2019,식량작물,가을감자,14.9,14.7,22
2019,식량작물,고구마,33.8,15.4,13.5
2019,엽근채소류,봄배추,30,10.5,18.2
2019,엽근채소류,고랭지배추,24.6,9.8,19.2
2019,엽근채소류,가을배추,21.2,10.9,28.6
2019,엽근채소류,봄무,36,15.2,17.6
2019,엽근채소류,고랭지무,35.4,11,15.1
2019,엽근채소류,가을무,26.3,9.4,13
2019,엽근채소류,월동배추,47.1,10.3,14.2
2019,엽근채소류,월동무,59.7,12.3,16.8
2019,과채류,수박,14.5,11.4,7.4
2019,과채류,참외,16.4,14,22.3
2019,과채류,오이,12.1,7.6,36.3
2019,과채류,방울토마토,19.4,9.4,13.6
2019,과채류,딸기,22.3,14.3,5.6
2019,조미채소류,건고추,16.2,12.1,14.6
2019,조미채소류,난지형마늘,24.9,8.5,33.8
